sepal_length,sepal_width,petal_length,petal_width,target,prediction
4.8,3.1830802813695036,2.4,0.3,0,0
6.7,3.613249619019213,6.7,2.1,2,1
6.4,2.738015405869568,6.6,2.2,2,2
6.9,2.9291522136082824,6.4,2.1,2,1
4.9,3.0113608028847163,4.3,1.0,1,1
6.7,3.2424017452548695,6.7,2.1,2,2
4.9,2.9089236161737784,2.4,0.2,0,0
5.9,3.1050485322891306,6.1,1.8,2,2
4.4,3.116491246042007,2.3,0.2,0,0
5.7,2.7168429001841745,6.0,2.0,2,2
6.3,3.019470102461563,6.6,1.8,2,2
5.6,2.752485957944286,5.9,2.0,2,2
6.4,3.188603221942819,6.3,2.3,2,2
7.3,2.882023145588952,7.3,1.8,2,1
5.6,2.7477381604617883,5.2,1.3,1,1
6.1,3.0822705184478005,5.7,1.2,1,1
5.8,2.180773495789669,5.0,1.2,1,1
5.5,3.02306554717294,5.4,1.2,1,1
4.6,3.18468139313586,2.4,0.3,0,0
6.3,1.844802780329569,5.4,1.3,1,1
6.8,2.8658377160185835,5.8,1.4,1,1
5.8,2.656545162618529,6.1,1.9,2,2
7.7,2.7000047755454575,7.9,2.3,2,2
6.4,2.8484141755032466,6.6,2.2,2,2
5.8,2.705081730542575,5.1,1.0,1,1
5.4,3.380269096372599,2.3,0.4,0,0
5.1,2.0641160092030426,4.0,1.1,1,1
6.9,3.534145093773745,6.4,2.1,2,1
5.5,2.691609359391668,5.0,1.3,1,1
5.8,2.4919114373450975,4.9,1.2,1,1
